
Image Name                     PID Session Name        Session#    Mem Usage
msedge.exe                   10908 Console                    2     38,940 K
msedge.exe                    9712 Console                    2     18,744 K
svchost.exe                   3948 Services                   0      5,920 K
msedge.exe                    5860 Console                    2    117,560 K
msedge.exe                    2484 Console                    2     30,184 K
m365copilot_autostarter.e     5412 Console                    2     11,432 K
taskhostw.exe                 6024 Console                    2     23,436 K
ApplicationFrameHost.exe      9180 Console                    2     38,200 K
Microsoft.Media.Player.ex     5544 Console                    2      1,928 K
RuntimeBroker.exe             6040 Console                    2     26,384 K
brightdata.exe               14564 Console                    2     25,920 K
conhost.exe                  14572 Console                    2      8,640 K
Video.UI.exe                 14852 Console                    2      1,904 K
SystemSettings.exe           14392 Console                    2      2,584 K
UserOOBEBroker.exe            4600 Console                    2     10,116 K
CalculatorApp.exe            11928 Console                    2      1,912 K
RuntimeBroker.exe            11768 Console                    2      7,120 K
Code.exe                     10856 Console                    2    173,328 K
Code.exe                      5372 Console                    2     33,152 K
Code.exe                      7744 Console                    2    197,936 K
Code.exe                     11516 Console                    2     51,252 K
Code.exe                      6524 Console                    2    427,860 K
Code.exe                      1384 Console                    2    109,992 K
Code.exe                      1800 Console                    2    128,100 K
Code.exe                     13116 Console                    2    114,176 K
Code.exe                      3936 Console                    2    133,508 K
TextInputHost.exe             8432 Console                    2     46,896 K
Code.exe                     11404 Console                    2    950,036 K
OpenConsole.exe              12844 Console                    2      8,444 K
OpenConsole.exe              12716 Console                    2      8,320 K
OpenConsole.exe              10228 Console                    2      8,376 K
powershell.exe                 916 Console                    2     61,584 K
powershell.exe                5076 Console                    2     61,532 K
powershell.exe               12392 Console                    2     60,472 K
Code.exe                     12332 Console                    2    178,292 K
codex.exe                     4396 Console                    2     41,608 K
conhost.exe                   4432 Console                    2     10,700 K
kilo.exe                     15500 Console                    2    643,192 K
Code.exe                     15892 Console                    2    109,720 K
Code.exe                     16336 Console                    2    173,808 K
msedgewebview2.exe           11552 Console                    2     65,496 K
brave.exe                     5188 Console                    2    239,724 K
brave.exe                    11204 Console                    2      7,764 K
brave.exe                    11756 Console                    2    283,080 K
brave.exe                     1904 Console                    2     53,860 K
brave.exe                    12236 Console                    2     22,408 K
brave.exe                      908 Console                    2    210,920 K
FileCoAuth.exe                9552 Console                    2     30,412 K
brave.exe                     2420 Console                    2    294,436 K
brave.exe                      788 Console                    2    558,844 K
brave.exe                    15904 Console                    2     52,976 K
CompPkgSrv.exe                7840 Console                    2      9,008 K
svchost.exe                  12400 Console                    2     12,896 K
ShellExperienceHost.exe       9528 Console                    2     71,208 K
svchost.exe                  10460 Console                    2      7,684 K
brave.exe                    15824 Console                    2     23,848 K
brave.exe                    16380 Console                    2     47,620 K
Code.exe                      4648 Console                    2    239,464 K
Salle des Fˆtes 1.0.0.exe    14252 Console                    2     14,944 K
Salle des Fˆtes.exe           2192 Console                    2    110,992 K
dllhost.exe                  10404 Console                    2     12,548 K
Salle des Fˆtes.exe          12200 Console                    2     57,672 K
Salle des Fˆtes.exe           8992 Console                    2     40,000 K
Salle des Fˆtes 1.0.0.exe    15452 Console                    2     14,888 K
Salle des Fˆtes.exe           3716 Console                    2    114,140 K
Code.exe                     12852 Console                    2    278,444 K
Code.exe                     14640 Console                    2    311,096 K
Code.exe                      8936 Console                    2    261,436 K
Salle des Fˆtes.exe          15184 Console                    2     61,380 K
Salle des Fˆtes.exe           1260 Console                    2     42,852 K
RuntimeBroker.exe            11648 Console                    2     22,256 K
rundll32.exe                  6188 Console                    2      9,672 K
Salle des Fˆtes 1.0.0.exe    14048 Console                    2     14,552 K
Salle des Fˆtes.exe           5472 Console                    2    112,284 K
Salle des Fˆtes.exe          11860 Console                    2     58,824 K
Salle des Fˆtes.exe          12084 Console                    2     42,020 K
svchost.exe                   9616 Services                   0     10,228 K
audiodg.exe                  11624 Services                   0     22,200 K
smartscreen.exe                748 Console                    2     23,564 K
